Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
WBB,Scrypt,PoW,181919.2435974,2628000.0,-0.18128040946806154,-1.0197662337029272,-0.027526479176326092,3,Wild Beast Coin
NOTE,Scrypt,PoS,174646113.934655,500000000.0,-0.28550884487896144,0.7619543612479162,-0.26475845602612585,0,Dnotes
FLO,Scrypt,PoW,152270664.860648,160000000.0,-0.17830026981362057,-1.0198812663525814,-0.027587081667068834,3,Flo
8BIT,Scrypt,PoW/PoS,1467841.0,0.0,-0.3437920186937129,1.046572544220338,-0.633572061276975,0,8BIT Coin
STV,X13,PoW/PoS,7096834.0,10000000.0,-0.2639683172912801,1.6347122630304185,-0.6618967317583966,0,Sativa Coin
ABY,Scrypt,PoW,792537250.0,1000000000.0,-0.16449381415448786,-1.0204910668380278,-0.027845825656041455,3,ArtByte
FLDC,Stanford Folding,PoW,719416990.0,1000000000.0,-0.13664688688063906,-1.9925065592204896,0.31083526644899423,3,Folding Coin
U,X11,PoS,2689812.0,20000000.0,-0.3304062648052212,0.8183175431892404,-0.1337602943647472,0,Ucoin
UIS,Multiple,PoW,65113302.0,0.0,-0.11869088652739875,-1.8120700962135046,0.4638693284797824,3,Unitus
CYP,QuBit,PoW,6365285.0,0.0,-0.1816290320809318,-1.4698467613805968,0.31662367647702455,3,CypherPunkCoin
OMC,Scrypt,PoW,10140044.4430293,3371337.0,-0.1811531854738365,-1.0197670036105067,-0.02753025226934007,3,OmniCron
VTR,Scrypt,PoW/PoS,11604722.0,20000000.0,-0.3435258394251388,1.0465581503982373,-0.6335762943861408,0,Vtorrent
GRE,Scrypt,PoW,4610340640.89,10000000000.0,-0.05382143912396921,-1.0269500490257673,-0.02947003646077723,3,GreenCoin
XCN,M7 POW,PoW,708506520.0,1840000000.0,-0.13369294419193306,-2.065409314074834,0.3282219944118385,3,Cryptonite
MSC,Scrypt,PoW,619478.0,619478.0,-0.18128931633004544,-1.019764823877898,-0.02752660335482308,3,MasterCoin
